Timestamp,How old are you?,What best describes your job?,What is your primary (used most) programming language?,What other languages are you proficient in?,Which is your favorite language ?,Do you intend to learn any of the following languages within the next 12 months?,What is your primary (most used) Operating System?,What other Operating Systems do you use?,What Operating Systems do you use the terminal on? ,How many years experience do you have with the terminal?,What do you use the terminal for?,What percentage of a typical workday do you spend actively working in the terminal?,What percentage of a typical workday do you have a terminal *open*?,What percentage of a typical workday do you spend actively working in a web browser?,What percentage of a typical workday do you spend with a web browser open?,Do you use the terminal outside of paid work?,How do you feel about color in the terminal in general?,Have you customized your terminal's color theme?,How would you describe your color theme?,Is your terminal background transparent (desktop shows through) in any way?,Have you customized your terminal prompt?,Which terminal emulator(s) do you use?,How comfortable are you using a CLI (Command Line Interface)?,How comfortable are you using a TUI (Text User Interface)? i.e. a terminal based application that occupies the full extents of the window with functionality beyond the prompt.,Have you ever installed software in the terminal?,Have you ever written a CLI app?,Do you anticipate needing to write a CLI app in the next 12 months?,Have you ever written a TUI app?,Do you anticipate writing a TUI in the next 12 months?,How do you feel about TUI apps?,Have you used a TUI version of any of the following?,"If a fully featured TUI version of these existed, would you consider using it over a desktop or web application?",Have you experienced any problems using the terminal?,
29/03/2022 09:32,38,Electronics designer,Python,"C, Python",C,,Windows,Linux,"Linux, Windows",20,"Software development, Administering remote servers (ssh), Data processing",10,10,20,100,Yes,5,No,"Dark background, light text",No,No,"Konsole, Linux console, Windows Console, xfce-terminal, xterm",4,4,Yes,Yes,Yes,No,Yes,5,"Activity monitor / task manager, Code editor, Configuration editor, Dashboards (data visualisation), File manager, Games, ToDo List, Note keeping, Version control (e.g. git)","Activity monitor / task manager, Code editor, Configuration editor, Dashboards (data visualisation), Data entry / forms, Distraction free writing, Note keeping, Version control (e.g. git)",,
29/03/2022 09:35,30,Web developer (back-end),Kotlin,Python,Python,Rust,Linux,MacOS,"Linux, MacOS",5,"Editing code, Software development, Administering remote servers (ssh), Data processing",90,90,10,10,Yes,5,Yes,"Dark background, light text",No,Yes,"Alacritty, Kitty, iTerm2",5,5,Yes,Yes,Yes,No,Yes,5,"Activity monitor / task manager, Calendar, Code editor, Database query interface, File manager, File viewer (syntax highlighted code)","API development / testing, Calendar, Calculator (basic /scientific), Chat / Messaging, Code editor, Configuration editor, Database administration, Dashboards (data visualisation), Database query interface, Email client, File manager, File viewer (syntax highlighted code), Jupyter editor, ToDo List, Note keeping, Project management / Kanban, Spreadsheet, Version control (e.g. git)",,
29/03/2022 09:35,35,Network Engineer,Python,"C, C++, C#, Matlab, PHP",Python,R,MacOS,Windows,MacOS,7,"Editing code, Software development, Administering remote servers (ssh)",70,100,60,100,No,5,Yes,"Dark background, light text",No,Yes,iTerm2,5,5,Yes,Yes,Yes,No,No,4,,,,
29/03/2022 09:35,40,DevOps,Python,"C, Javascript",Python,Javascript,Linux,Windows,"Linux, Windows",20,"Software development, Administering remote servers (ssh), Data processing, executing tools without needing their GUI",40,100,20,100,Yes,5,Yes,"Dark background, light text",No,Yes,"GNOME Terminal, Terminator, Windows Terminal",5,5,Yes,Yes,Yes,No,Yes,5,"Activity monitor / task manager, Bitorrent client, Calculator (basic /scientific), Code editor, Configuration editor, Database administration, Data entry / forms, File manager, Version control (e.g. git)","Activity monitor / task manager, API development / testing, Configuration editor, Database query interface, Data entry / forms, File viewer (syntax highlighted code), Version control (e.g. git)",Nothing that couldn't be figured out in 30 mins or so,
29/03/2022 09:35,26,Web developer (back-end),Python,"Javascript, Python",Python,Rust,Windows,"Linux, Windows","Linux, Windows",3,"Editing code, Software development, Administering remote servers (ssh)",40,80,60,90,Yes,5,Yes,"Dark background, light text",No,Yes,"Alacritty, Windows Terminal",4,3,Yes,Yes,Yes,No,Yes,5,"Activity monitor / task manager, API development / testing, Calendar, Chat / Messaging, Code editor, Configuration editor, Database administration, Dashboards (data visualisation), Database query interface, Data entry / forms, File manager, Jupyter editor, Jupyter viewer, ToDo List, Note keeping, Spreadsheet, Version control (e.g. git)","Activity monitor / task manager, API development / testing, Calendar, Calculator (basic /scientific), Chat / Messaging, Code editor, Configuration editor, Database administration, Dashboards (data visualisation), Database query interface, Data entry / forms, Distraction free writing, Email client, File manager, File viewer (syntax highlighted code), Jupyter editor, Jupyter viewer, ToDo List, Note keeping, Project management / Kanban, Spreadsheet, Version control (e.g. git)",no,
29/03/2022 09:36,51,System administrator,Python,Typescript,Python,Rust,Windows,Linux,"Linux, Windows",25,"Software development, Administering remote servers (ssh)",25,100,25,100,Yes,4,Yes,"Dark background, light text",No,Yes,"Alacritty, Windows Terminal",5,3,Yes,Yes,Yes,No,Yes,3,"Activity monitor / task manager, Code editor, File manager, Version control (e.g. git)","API development / testing, Data entry / forms, Version control (e.g. git)",,
29/03/2022 09:36,25,Web developer (full-stack),Python,"Javascript, Perl, Rust",Python,,Linux,Windows,"Linux, Windows",8,"Editing code, Software development, Administering remote servers (ssh), Data processing",20,100,20,100,Yes,4,Yes,"Dark background, light text",No,Yes,Kitty,5,2,Yes,Yes,Yes,No,No,4,"Activity monitor / task manager, Code editor, Database administration","Activity monitor / task manager, Configuration editor, Database administration, Database query interface, File manager, ToDo List, Note keeping, Version control (e.g. git)",No,
29/03/2022 09:37,37,Research scientist ,Python,"C, C++, Java, Javascript, R, Typescript",Python,"Rust, Scala",Linux,MacOS,Windows,20,"Editing code, Administering remote servers (ssh), Data processing",50,100,20,100,Yes,5,Yes,"Dark background, light text",No,Yes,"GNOME Terminal, Terminal.app",5,5,Yes,Yes,Yes,Yes,Yes,5,"Activity monitor / task manager, API development / testing, Calculator (basic /scientific), Code editor, Configuration editor, Database administration, Dashboards (data visualisation), Database query interface, Data entry / forms, Distraction free writing, File manager, File viewer (syntax highlighted code), Note keeping, Version control (e.g. git)","Calendar, Email client, ToDo List, Note keeping",No,
29/03/2022 09:38,32,Data scientist,Python,,Python,C++,MacOS,Linux,"Linux, MacOS",11,"Editing code, Software development, Administering remote servers (ssh), Data processing, Parsing output files with awk, sed, cat, grep",40,100,50,,Yes,5,Yes,"Dark background, light text",No,No,iTerm2,5,5,Yes,No,No,No,No,5,"Activity monitor / task manager, Code editor, File manager, Jupyter editor, Jupyter viewer","Calendar, Dashboards (data visualisation), Database query interface, Jupyter editor, Jupyter viewer, Spreadsheet",Inconsistent shortcuts/inputs. Each time I install iterm2 i lose/forget all the nice shortcuts. Even key entries are different (like command + left arrow to shift cursor one word left). ,
29/03/2022 09:39,42,Social sciences researcher,Python,R,Python,Rust,Windows,Linux,"Linux, Windows",17,"Software development, Data processing",2,80,30,100,Yes,5,No,"Dark background, light text",Yes,Yes,"Windows Console, Windows Terminal",3,2,Yes,Yes,Yes,No,No,3,"Code editor, Configuration editor, Database query interface, File manager, Jupyter editor, Version control (e.g. git)","Code editor, File manager, Jupyter editor, Jupyter viewer, Note keeping, Version control (e.g. git)",The classic Windows console is kind of... crappy? So it seems like many terminal innovations focus only on Linux/macOS.,
29/03/2022 09:40,39,mathematician,Ruby,"Julia, Python",Ruby,,Linux,,Linux,20,"Software development, Administering remote servers (ssh), Data processing",20,100,40,100,Yes,5,Yes,It depends on the time of the day!,No,Yes,"xfce-terminal, urxvt",5,3,Yes,Yes,Yes,No,No,3,,"Activity monitor / task manager, Calendar, Chat / Messaging, Code editor, Email client, Jupyter editor, Jupyter viewer, ToDo List, Note keeping","Occasional problems with fonts (czech diacritics, emojis,...)",
29/03/2022 09:40,27,Desktop application developer,Python,"C, Python, Rust",Python,Go,Linux,"MacOS, Windows","Linux, MacOS, Windows",5,Administering remote servers (ssh),40,100,30,100,Yes,5,Yes,"Dark background, light text",Yes,Yes,"iTerm2, Windows Terminal, xfce-terminal",5,4,Yes,Yes,Yes,No,Yes,5,"Activity monitor / task manager, Version control (e.g. git)","Chat / Messaging, Database query interface, Note keeping, Version control (e.g. git)",,
